Generation	Freq_c
0	0.020000
1	0.019608
2	0.019231
3	0.018868
4	0.018519
5	0.018182
6	0.017857
7	0.017544
8	0.017241
9	0.016949
10	0.016667
11	0.016393
12	0.016129
13	0.015873
14	0.015625
15	0.015385
16	0.015152
17	0.014925
18	0.014706
19	0.014493
20	0.014286
21	0.014085
22	0.013889
23	0.013699
24	0.013514
25	0.013333
26	0.013158
27	0.012987
28	0.012821
29	0.012658
30	0.012500
31	0.012346
32	0.012195
33	0.012048
34	0.011905
35	0.011765
36	0.011628
37	0.011494
38	0.011364
39	0.011236
40	0.011111
41	0.010989
42	0.010870
43	0.010753
44	0.010638
45	0.010526
46	0.010417
47	0.010309
48	0.010204
49	0.010101
50	0.010000
51	0.009901
52	0.009804
53	0.009709
54	0.009615
55	0.009524
56	0.009434
57	0.009346
58	0.009259
59	0.009174
60	0.009091
61	0.009009
62	0.008929
63	0.008850
64	0.008772
65	0.008696
66	0.008621
67	0.008547
68	0.008475
69	0.008403
70	0.008333
71	0.008264
72	0.008197
73	0.008130
74	0.008065
75	0.008000
76	0.007937
77	0.007874
78	0.007812
79	0.007752
80	0.007692
81	0.007634
82	0.007576
83	0.007519
84	0.007463
85	0.007407
86	0.007353
87	0.007299
88	0.007246
89	0.007194
90	0.007143
91	0.007092
92	0.007042
93	0.006993
94	0.006944
95	0.006897
96	0.006849
97	0.006803
98	0.006757
99	0.006711
100	0.006667
101	0.006623
102	0.006579
103	0.006536
104	0.006494
105	0.006452
106	0.006410
107	0.006369
108	0.006329
109	0.006289
110	0.006250
111	0.006211
112	0.006173
113	0.006135
114	0.006098
115	0.006061
116	0.006024
117	0.005988
118	0.005952
119	0.005917
120	0.005882
121	0.005848
122	0.005814
123	0.005780
124	0.005747
125	0.005714
126	0.005682
127	0.005650
128	0.005618
129	0.005587
130	0.005556
131	0.005525
132	0.005495
133	0.005464
134	0.005435
135	0.005405
136	0.005376
137	0.005348
138	0.005319
139	0.005291
140	0.005263
141	0.005236
142	0.005208
143	0.005181
144	0.005155
145	0.005128
146	0.005102
147	0.005076
148	0.005051
149	0.005025
150	0.005000
151	0.004975
152	0.004950
153	0.004926
154	0.004902
155	0.004878
156	0.004854
157	0.004831
158	0.004808
159	0.004785
160	0.004762
161	0.004739
162	0.004717
163	0.004695
164	0.004673
165	0.004651
166	0.004630
167	0.004608
168	0.004587
169	0.004566
170	0.004545
171	0.004525
172	0.004505
173	0.004484
174	0.004464
175	0.004444
176	0.004425
177	0.004405
178	0.004386
179	0.004367
180	0.004348
181	0.004329
182	0.004310
183	0.004292
184	0.004274
185	0.004255
186	0.004237
187	0.004219
188	0.004202
189	0.004184
190	0.004167
191	0.004149
192	0.004132
193	0.004115
194	0.004098
195	0.004082
196	0.004065
197	0.004049
198	0.004032
199	0.004016
200	0.004000
201	0.003984
202	0.003968
203	0.003953
204	0.003937
205	0.003922
206	0.003906
207	0.003891
208	0.003876
209	0.003861
210	0.003846
211	0.003831
212	0.003817
213	0.003802
214	0.003788
215	0.003774
216	0.003759
217	0.003745
218	0.003731
219	0.003717
220	0.003704
221	0.003690
222	0.003676
223	0.003663
224	0.003650
225	0.003636
226	0.003623
227	0.003610
228	0.003597
229	0.003584
230	0.003571
231	0.003559
232	0.003546
233	0.003534
234	0.003521
235	0.003509
236	0.003497
237	0.003484
238	0.003472
239	0.003460
240	0.003448
241	0.003436
242	0.003425
243	0.003413
244	0.003401
245	0.003390
246	0.003378
247	0.003367
248	0.003356
249	0.003344
250	0.003333
251	0.003322
252	0.003311
253	0.003300
254	0.003289
255	0.003279
256	0.003268
257	0.003257
258	0.003247
259	0.003236
260	0.003226
261	0.003215
262	0.003205
263	0.003195
264	0.003185
265	0.003175
266	0.003165
267	0.003155
268	0.003145
269	0.003135
270	0.003125
271	0.003115
272	0.003106
273	0.003096
274	0.003086
275	0.003077
276	0.003067
277	0.003058
278	0.003049
279	0.003040
280	0.003030
281	0.003021
282	0.003012
283	0.003003
284	0.002994
285	0.002985
286	0.002976
287	0.002967
288	0.002959
289	0.002950
290	0.002941
291	0.002933
292	0.002924
293	0.002915
294	0.002907
295	0.002899
296	0.002890
297	0.002882
298	0.002874
299	0.002865
300	0.002857
301	0.002849
302	0.002841
303	0.002833
304	0.002825
305	0.002817
306	0.002809
307	0.002801
308	0.002793
309	0.002786
310	0.002778
311	0.002770
312	0.002762
313	0.002755
314	0.002747
315	0.002740
316	0.002732
317	0.002725
318	0.002717
319	0.002710
320	0.002703
321	0.002695
322	0.002688
323	0.002681
324	0.002674
325	0.002667
326	0.002660
327	0.002653
328	0.002646
329	0.002639
330	0.002632
331	0.002625
332	0.002618
333	0.002611
334	0.002604
335	0.002597
336	0.002591
337	0.002584
338	0.002577
339	0.002571
340	0.002564
341	0.002558
342	0.002551
343	0.002545
344	0.002538
345	0.002532
346	0.002525
347	0.002519
348	0.002513
349	0.002506
350	0.002500
351	0.002494
352	0.002488
353	0.002481
354	0.002475
355	0.002469
356	0.002463
357	0.002457
358	0.002451
359	0.002445
360	0.002439
361	0.002433
362	0.002427
363	0.002421
364	0.002415
365	0.002410
366	0.002404
367	0.002398
368	0.002392
369	0.002387
370	0.002381
371	0.002375
372	0.002370
373	0.002364
374	0.002358
375	0.002353
376	0.002347
377	0.002342
378	0.002336
379	0.002331
380	0.002326
381	0.002320
382	0.002315
383	0.002309
384	0.002304
385	0.002299
386	0.002294
387	0.002288
388	0.002283
389	0.002278
390	0.002273
391	0.002268
392	0.002262
393	0.002257
394	0.002252
395	0.002247
396	0.002242
397	0.002237
398	0.002232
399	0.002227
400	0.002222
401	0.002217
402	0.002212
403	0.002208
404	0.002203
405	0.002198
406	0.002193
407	0.002188
408	0.002183
409	0.002179
410	0.002174
411	0.002169
412	0.002165
413	0.002160
414	0.002155
415	0.002151
416	0.002146
417	0.002141
418	0.002137
419	0.002132
420	0.002128
421	0.002123
422	0.002119
423	0.002114
424	0.002110
425	0.002105
426	0.002101
427	0.002096
428	0.002092
429	0.002088
430	0.002083
431	0.002079
432	0.002075
433	0.002070
434	0.002066
435	0.002062
436	0.002058
437	0.002053
438	0.002049
439	0.002045
440	0.002041
441	0.002037
442	0.002033
443	0.002028
444	0.002024
445	0.002020
446	0.002016
447	0.002012
448	0.002008
449	0.002004
450	0.002000
451	0.001996
452	0.001992
453	0.001988
454	0.001984
455	0.001980
456	0.001976
457	0.001972
458	0.001969
459	0.001965
460	0.001961
461	0.001957
462	0.001953
463	0.001949
464	0.001946
465	0.001942
466	0.001938
467	0.001934
468	0.001931
469	0.001927
470	0.001923
471	0.001919
472	0.001916
473	0.001912
474	0.001908
475	0.001905
476	0.001901
477	0.001898
478	0.001894
479	0.001890
480	0.001887
481	0.001883
482	0.001880
483	0.001876
484	0.001873
485	0.001869
486	0.001866
487	0.001862
488	0.001859
489	0.001855
490	0.001852
491	0.001848
492	0.001845
493	0.001842
494	0.001838
495	0.001835
496	0.001832
497	0.001828
498	0.001825
499	0.001821
500	0.001818
